IGOR
X| Tue Jun 06 20:55:57 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.0160		
	1.0000		-0.0150		
	2.0000		-0.0126		
	3.0000		-0.0104		
	4.0000		-0.0066		
	5.0000		0.0000		
	6.0000		0.0020		
	7.0000		0.0026		
	8.0000		0.0050		
	9.0000		0.0050		
	10.0000		0.0050		
	11.0000		0.0050		
	12.0000		0.0050		
	13.0000		0.0050		
	14.0000		0.0050		
	15.0000		0.0050		
	16.0000		0.0050		
	17.0000		0.0050		
	18.0000		0.0050		
	19.0000		0.0050		
	20.0000		0.0035		
	21.0000		0.0020		
	22.0000		0.0020		
	23.0000		0.0020		
	24.0000		0.0020		
	25.0000		0.0020		
	26.0000		0.0038		
	27.0000		0.0050		
	28.0000		0.0056		
	29.0000		0.0070		
	30.0000		0.0070		
	31.0000		0.0070		
	32.0000		0.0085		
	33.0000		0.0100		
	34.0000		0.0100		
	35.0000		0.0100		
	36.0000		0.0100		
	37.0000		0.0100		
	38.0000		0.0100		
	39.0000		0.0100		
	40.0000		0.0106		
	41.0000		0.0120		
	42.0000		0.0120		
	43.0000		0.0120		
	44.0000		0.0120		
	45.0000		0.0120		
	46.0000		0.0120		
	47.0000		0.0114		
	48.0000		0.0106		
	49.0000		0.0100		
	50.0000		0.0094		
	51.0000		0.0070		
	52.0000		0.0070		
	53.0000		0.0070		
	54.0000		0.0070		
	55.0000		0.0070		
	56.0000		0.0070		
	57.0000		0.0070		
	58.0000		0.0068		
	59.0000		0.0052		
	60.0000		0.0050		
	61.0000		0.0050		
	62.0000		0.0029		
	63.0000		0.0020		
	64.0000		0.0023		
	65.0000		0.0020		
	66.0000		0.0020		
	67.0000		0.0008		
	68.0000		0.0000		
	69.0000		0.0000		
	70.0000		0.0000		
	71.0000		0.0000		
	72.0000		0.0000		
	73.0000		0.0000		
	74.0000		0.0000		
	75.0000		0.0000		
	76.0000		0.0014		
	77.0000		0.0020		
	78.0000		0.0035		
	79.0000		0.0050		
	80.0000		0.0050		
	81.0000		0.0050		
	82.0000		0.0050		
	83.0000		0.0050		
	84.0000		0.0050		
	85.0000		0.0052		
	86.0000		0.0050		
	87.0000		0.0050		
	88.0000		0.0050		
	89.0000		0.0050		
	90.0000		0.0050		
	91.0000		0.0050		
	92.0000		0.0050		
	93.0000		0.0029		
	94.0000		0.0020		
	95.0000		0.0014		
	96.0000		0.0000		
	97.0000		0.0000		
	98.0000		0.0000		
	99.0000		0.0000		
	100.0000		0.0000		
	101.0000		0.0000		
	102.0000		0.0000		
	103.0000		0.0000		
	104.0000		0.0000		
	105.0000		0.0000		
	106.0000		0.0000		
	107.0000		-0.0036		
	108.0000		-0.0070		
	109.0000		-0.0066		
	110.0000		-0.0066		
	111.0000		-0.0058		
	112.0000		-0.0015		
	113.0000		0.0000		
	114.0000		0.0000		
	115.0000		0.0000		
	116.0000		0.0000		
	117.0000		0.0000		
	118.0000		0.0000		
	119.0000		0.0000		
	120.0000		0.0000		
	121.0000		0.0000		
	122.0000		-0.0036		
	123.0000		-0.0068		
	124.0000		-0.0070		
	125.0000		-0.0070		
	126.0000		-0.0070		
	127.0000		-0.0070		
	128.0000		-0.0070		
	129.0000		-0.0070		
	130.0000		-0.0070		
	131.0000		-0.0070		
	132.0000		-0.0070		
	133.0000		-0.0070		
	134.0000		-0.0070		
	135.0000		-0.0070		
	136.0000		-0.0070		
	137.0000		-0.0070		
	138.0000		-0.0062		
	139.0000		-0.0064		
	140.0000		-0.0066		
	141.0000		-0.0062		
	142.0000		-0.0052		
	143.0000		-0.0054		
	144.0000		-0.0005		
	145.0000		-0.0058		
	146.0000		-0.0070		
	147.0000		-0.0045		
	148.0000		0.0000		
	149.0000		0.0000		
	150.0000		0.0002		
	151.0000		0.0016		
	152.0000		0.0002		
	153.0000		0.0000		
	154.0000		-0.0035		
	155.0000		-0.0032		
	156.0000		-0.0005		
	157.0000		0.0000		
	158.0000		0.0000		
	159.0000		0.0012		
	160.0000		0.0002		
	161.0000		0.0000		
	162.0000		0.0000		
	163.0000		0.0000		
	164.0000		0.0000		
	165.0000		0.0000		
	166.0000		0.0000		
	167.0000		0.0000		
	168.0000		0.0000		
	169.0000		0.0006		
	170.0000		0.0004		
	171.0000		0.0014		
	172.0000		0.0020		
	173.0000		0.0020		
	174.0000		0.0020		
	175.0000		0.0020		
	176.0000		0.0020		
	177.0000		0.0023		
	178.0000		0.0020		
	179.0000		0.0020		
	180.0000		0.0002		
	181.0000		0.0000		
	182.0000		0.0000		
	183.0000		0.0000		
	184.0000		0.0000		
	185.0000		0.0000		
	186.0000		0.0018		
	187.0000		0.0020		
	188.0000		0.0020		
	189.0000		0.0035		
	190.0000		0.0050		
	191.0000		0.0050		
	192.0000		0.0050		
	193.0000		0.0050		
	194.0000		0.0052		
	195.0000		0.0066		
	196.0000		0.0070		
	197.0000		0.0070		
	198.0000		0.0070		
	199.0000		0.0060		
	200.0000		0.0050		
	201.0000		0.0050		
	202.0000		0.0050		
	203.0000		0.0056		
	204.0000		0.0050		
	205.0000		0.0050		
	206.0000		0.0050		
	207.0000		0.0050		
	208.0000		0.0050		
	209.0000		0.0050		
	210.0000		0.0023		
	211.0000		0.0020		
	212.0000		0.0020		
	213.0000		0.0018		
	214.0000		0.0012		
	215.0000		0.0014		
	216.0000		0.0020		
	217.0000		0.0020		
	218.0000		0.0010		
	219.0000		0.0000		
	220.0000		0.0000		
	221.0000		0.0014		
	222.0000		0.0020		
	223.0000		0.0020		
	224.0000		0.0026		
	225.0000		0.0020		
	226.0000		0.0020		
	227.0000		0.0020		
