IGOR
X| Fri Jul 28 17:03:32 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1479		
	1.0000		-0.1503		
	2.0000		-0.1441		
	3.0000		-0.1326		
	4.0000		-0.1232		
	5.0000		-0.1150		
	6.0000		-0.1073		
	7.0000		-0.1010		
	8.0000		-0.1029		
	9.0000		-0.1000		
	10.0000		-0.0956		
	11.0000		-0.0943		
	12.0000		0.0981		
	13.0000		0.2358		
	14.0000		0.1585		
	15.0000		0.0991		
	16.0000		0.0530		
	17.0000		0.0228		
	18.0000		-0.0068		
	19.0000		-0.0263		
	20.0000		-0.0392		
	21.0000		-0.0507		
	22.0000		-0.0607		
	23.0000		-0.0691		
	24.0000		-0.0737		
	25.0000		-0.0782		
	26.0000		-0.0812		
	27.0000		-0.0812		
	28.0000		-0.0847		
	29.0000		-0.0844		
	30.0000		-0.0802		
	31.0000		-0.0802		
	32.0000		-0.0779		
	33.0000		-0.0772		
	34.0000		-0.0762		
	35.0000		-0.0751		
	36.0000		-0.0732		
	37.0000		-0.0740		
	38.0000		-0.0762		
	39.0000		-0.0764		
	40.0000		-0.0766		
	41.0000		-0.0762		
	42.0000		-0.0753		
	43.0000		-0.0808		
	44.0000		-0.0797		
	45.0000		-0.0805		
	46.0000		-0.0802		
	47.0000		-0.0817		
	48.0000		-0.0806		
	49.0000		-0.0793		
	50.0000		-0.0780		
	51.0000		-0.0828		
	52.0000		-0.0879		
	53.0000		-0.0914		
	54.0000		-0.0887		
	55.0000		-0.0889		
	56.0000		-0.0899		
	57.0000		-0.0923		
	58.0000		-0.0921		
	59.0000		-0.0927		
	60.0000		-0.0919		
	61.0000		-0.0895		
	62.0000		-0.0873		
	63.0000		-0.0886		
	64.0000		-0.0839		
	65.0000		-0.0810		
	66.0000		-0.0804		
	67.0000		-0.0784		
	68.0000		-0.0782		
	69.0000		-0.0782		
	70.0000		-0.0753		
	71.0000		-0.0768		
	72.0000		-0.0738		
	73.0000		-0.0754		
	74.0000		-0.0794		
	75.0000		-0.0832		
	76.0000		-0.0827		
	77.0000		-0.0817		
	78.0000		-0.0826		
	79.0000		-0.0873		
	80.0000		-0.0885		
	81.0000		-0.0871		
	82.0000		-0.0897		
	83.0000		-0.0871		
	84.0000		-0.0904		
	85.0000		-0.0894		
	86.0000		-0.0910		
	87.0000		-0.0932		
	88.0000		-0.0923		
	89.0000		-0.0916		
	90.0000		-0.0923		
	91.0000		-0.0881		
	92.0000		-0.0847		
	93.0000		-0.0818		
	94.0000		-0.0838		
	95.0000		-0.0867		
	96.0000		-0.0906		
	97.0000		-0.0874		
	98.0000		-0.0903		
	99.0000		-0.0910		
	100.0000		-0.0914		
	101.0000		-0.0900		
	102.0000		-0.0876		
	103.0000		-0.0872		
	104.0000		-0.0908		
	105.0000		-0.0935		
	106.0000		-0.0896		
	107.0000		-0.0853		
	108.0000		-0.0846		
	109.0000		-0.0885		
	110.0000		-0.0891		
	111.0000		-0.0888		
	112.0000		-0.0839		
	113.0000		-0.0838		
	114.0000		-0.0829		
	115.0000		-0.0808		
	116.0000		-0.0828		
	117.0000		-0.0804		
	118.0000		-0.0803		
	119.0000		-0.0798		
	120.0000		-0.0858		
	121.0000		-0.0854		
	122.0000		-0.0836		
	123.0000		-0.0853		
	124.0000		-0.0877		
	125.0000		-0.0825		
	126.0000		-0.0773		
	127.0000		-0.0776		
	128.0000		-0.0775		
	129.0000		-0.0878		
	130.0000		-0.0897		
	131.0000		-0.0895		
	132.0000		-0.0832		
	133.0000		-0.0814		
	134.0000		-0.0840		
	135.0000		-0.0871		
	136.0000		-0.0866		
	137.0000		-0.0852		
	138.0000		-0.0908		
	139.0000		-0.0926		
	140.0000		-0.0906		
	141.0000		-0.0901		
	142.0000		-0.0875		
	143.0000		-0.0899		
	144.0000		-0.0889		
	145.0000		-0.0879		
	146.0000		-0.0868		
	147.0000		-0.0903		
	148.0000		-0.0907		
	149.0000		-0.0914		
	150.0000		-0.0961		
	151.0000		-0.0971		
	152.0000		-0.0965		
	153.0000		-0.0924		
	154.0000		-0.0910		
	155.0000		-0.0901		
	156.0000		-0.0896		
	157.0000		-0.0914		
	158.0000		-0.0912		
	159.0000		-0.0958		
	160.0000		-0.0991		
	161.0000		-0.0999		
	162.0000		-0.0967		
	163.0000		-0.0932		
	164.0000		-0.0947		
	165.0000		-0.0943		
	166.0000		-0.0892		
	167.0000		-0.0879		
	168.0000		-0.0894		
	169.0000		-0.0900		
	170.0000		-0.0890		
	171.0000		-0.0820		
	172.0000		-0.0832		
	173.0000		-0.0869		
	174.0000		-0.0898		
	175.0000		-0.0904		
	176.0000		-0.0876		
	177.0000		-0.0906		
	178.0000		-0.0969		
	179.0000		-0.0979		
	180.0000		-0.0974		
	181.0000		-0.0985		
	182.0000		-0.0970		
	183.0000		-0.0935		
	184.0000		-0.0899		
	185.0000		-0.0912		
	186.0000		-0.0917		
	187.0000		-0.0904		
	188.0000		-0.0879		
	189.0000		-0.0862		
	190.0000		-0.0903		
	191.0000		-0.0899		
	192.0000		-0.0908		
	193.0000		-0.0891		
	194.0000		-0.0876		
	195.0000		-0.0875		
	196.0000		-0.0899		
	197.0000		-0.0945		
	198.0000		-0.0902		
	199.0000		-0.0886		
	200.0000		-0.0854		
	201.0000		-0.0835		
	202.0000		-0.0844		
	203.0000		-0.0841		
	204.0000		-0.0871		
	205.0000		-0.0885		
	206.0000		-0.0912		
	207.0000		-0.0908		
	208.0000		-0.0864		
	209.0000		-0.0860		
	210.0000		-0.0865		
	211.0000		-0.0868		
	212.0000		-0.0860		
	213.0000		-0.0896		
