IGOR
X| Fri May 26 13:45:24 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		0.0770		
	1.0000		0.0770		
	2.0000		0.0770		
	3.0000		0.0779		
	4.0000		0.0800		
	5.0000		0.0810		
	6.0000		0.0820		
	7.0000		0.0838		
	8.0000		0.0850		
	9.0000		0.0854		
	10.0000		0.0873		
	11.0000		0.0900		
	12.0000		0.0920		
	13.0000		0.0944		
	14.0000		0.0962		
	15.0000		0.0973		
	16.0000		0.1002		
	17.0000		0.1020		
	18.0000		0.1032		
	19.0000		0.1026		
	20.0000		0.0763		
	21.0000		0.0787		
	22.0000		0.0865		
	23.0000		0.0925		
	24.0000		0.0975		
	25.0000		0.1010		
	26.0000		0.1029		
	27.0000		0.1060		
	28.0000		0.1070		
	29.0000		0.1091		
	30.0000		0.1102		
	31.0000		0.1120		
	32.0000		0.1152		
	33.0000		0.1176		
	34.0000		0.1206		
	35.0000		0.1241		
	36.0000		0.1276		
	37.0000		0.1315		
	38.0000		0.1367		
	39.0000		0.1420		
	40.0000		0.1475		
	41.0000		0.1539		
	42.0000		0.1587		
	43.0000		0.1640		
	44.0000		0.1688		
	45.0000		0.1729		
	46.0000		0.1758		
	47.0000		0.1770		
	48.0000		0.1773		
	49.0000		0.1770		
	50.0000		0.1752		
	51.0000		0.1720		
	52.0000		0.1714		
	53.0000		0.1685		
	54.0000		0.1647		
	55.0000		0.1587		
	56.0000		0.1542		
	57.0000		0.1468		
	58.0000		0.1400		
	59.0000		0.1330		
	60.0000		0.1260		
	61.0000		0.1192		
	62.0000		0.1132		
	63.0000		0.1070		
	64.0000		0.1010		
	65.0000		0.0962		
	66.0000		0.0924		
	67.0000		0.0888		
	68.0000		0.0864		
	69.0000		0.0850		
	70.0000		0.0823		
	71.0000		0.0820		
	72.0000		0.0820		
	73.0000		0.0823		
	74.0000		0.0850		
	75.0000		0.0862		
	76.0000		0.0882		
	77.0000		0.0908		
	78.0000		0.0932		
	79.0000		0.0960		
	80.0000		0.0988		
	81.0000		0.1014		
	82.0000		0.1038		
	83.0000		0.1058		
	84.0000		0.1070		
	85.0000		0.1070		
	86.0000		0.1076		
	87.0000		0.1079		
	88.0000		0.1070		
	89.0000		0.1070		
	90.0000		0.1052		
	91.0000		0.1035		
	92.0000		0.1018		
	93.0000		0.1000		
	94.0000		0.0976		
	95.0000		0.0970		
	96.0000		0.0962		
	97.0000		0.0950		
	98.0000		0.0950		
	99.0000		0.0950		
	100.0000		0.0954		
	101.0000		0.0970		
	102.0000		0.0973		
	103.0000		0.1004		
	104.0000		0.1026		
	105.0000		0.1056		
	106.0000		0.1079		
	107.0000		0.1110		
	108.0000		0.1138		
	109.0000		0.1168		
	110.0000		0.1176		
	111.0000		0.1200		
	112.0000		0.1204		
	113.0000		0.1220		
	114.0000		0.1220		
	115.0000		0.1220		
	116.0000		0.1220		
	117.0000		0.1220		
	118.0000		0.1220		
	119.0000		0.1220		
	120.0000		0.1208		
	121.0000		0.1200		
	122.0000		0.1200		
	123.0000		0.1200		
	124.0000		0.1200		
	125.0000		0.1185		
	126.0000		0.1170		
	127.0000		0.1170		
	128.0000		0.1170		
	129.0000		0.1170		
	130.0000		0.1170		
	131.0000		0.1164		
	132.0000		0.1154		
	133.0000		0.1166		
	134.0000		0.1170		
	135.0000		0.1170		
	136.0000		0.1170		
	137.0000		0.1200		
	138.0000		0.1202		
	139.0000		0.1220		
	140.0000		0.1220		
	141.0000		0.1235		
	142.0000		0.1250		
	143.0000		0.1235		
	144.0000		0.1212		
	145.0000		0.1200		
	146.0000		0.1170		
	147.0000		0.1156		
	148.0000		0.1123		
	149.0000		0.1091		
	150.0000		0.1062		
	151.0000		0.1029		
	152.0000		0.1001		
	153.0000		0.0962		
	154.0000		0.0932		
	155.0000		0.0893		
	156.0000		0.0862		
	157.0000		0.0832		
	158.0000		0.0804		
	159.0000		0.0770		
	160.0000		0.0748		
	161.0000		0.0714		
	162.0000		0.0688		
	163.0000		0.0670		
	164.0000		0.0654		
	165.0000		0.0650		
	166.0000		0.0650		
	167.0000		0.0650		
	168.0000		0.0656		
	169.0000		0.0670		
	170.0000		0.0676		
	171.0000		0.0704		
	172.0000		0.0720		
	173.0000		0.0747		
	174.0000		0.0770		
	175.0000		0.0773		
	176.0000		0.0800		
	177.0000		0.0816		
	178.0000		0.0820		
	179.0000		0.0850		
	180.0000		0.0850		
	181.0000		0.0850		
	182.0000		0.0852		
	183.0000		0.0850		
	184.0000		0.0850		
	185.0000		0.0832		
	186.0000		0.0820		
	187.0000		0.0804		
	188.0000		0.0800		
	189.0000		0.0788		
	190.0000		0.0770		
	191.0000		0.0770		
	192.0000		0.0770		
	193.0000		0.0770		
	194.0000		0.0770		
	195.0000		0.0770		
	196.0000		0.0770		
	197.0000		0.0770		
	198.0000		0.0770		
	199.0000		0.0785		
	200.0000		0.0800		
	201.0000		0.0814		
	202.0000		0.0826		
	203.0000		0.0850		
	204.0000		0.0868		
	205.0000		0.0896		
	206.0000		0.0923		
	207.0000		0.0952		
	208.0000		0.0976		
	209.0000		0.1006		
	210.0000		0.1029		
	211.0000		0.1060		
	212.0000		0.1079		
	213.0000		0.1110		
	214.0000		0.1138		
	215.0000		0.1166		
	216.0000		0.1179		
	217.0000		0.1204		
	218.0000		0.1223		
	219.0000		0.1247		
	220.0000		0.1264		
	221.0000		0.1270		
	222.0000		0.1270		
	223.0000		0.1270		
	224.0000		0.1270		
	225.0000		0.1270		
	226.0000		0.1270		
	227.0000		0.1250		
	228.0000		0.1223		
	229.0000		0.1194		
	230.0000		0.1155		
	231.0000		0.1112		
