IGOR
X| Fri May 19 15:41:45 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		0.2597		
	1.0000		0.2612		
	2.0000		0.2626		
	3.0000		0.2665		
	4.0000		0.2716		
	5.0000		0.2760		
	6.0000		0.2770		
	7.0000		0.2801		
	8.0000		0.2835		
	9.0000		0.2864		
	10.0000		0.2885		
	11.0000		0.2868		
	12.0000		0.2933		
	13.0000		0.2970		
	14.0000		0.3003		
	15.0000		0.3026		
	16.0000		0.3029		
	17.0000		0.3050		
	18.0000		0.3020		
	19.0000		0.3020		
	20.0000		0.3018		
	21.0000		0.3004		
	22.0000		0.3000		
	23.0000		0.2985		
	24.0000		0.2962		
	25.0000		0.2932		
	26.0000		0.2914		
	27.0000		0.2900		
	28.0000		0.2876		
	29.0000		0.2856		
	30.0000		0.2841		
	31.0000		0.2820		
	32.0000		0.2838		
	33.0000		0.2823		
	34.0000		0.2852		
	35.0000		0.2870		
	36.0000		0.2885		
	37.0000		0.2900		
	38.0000		0.2926		
	39.0000		0.2950		
	40.0000		0.2968		
	41.0000		0.2982		
	42.0000		0.3000		
	43.0000		0.3000		
	44.0000		0.3012		
	45.0000		0.3020		
	46.0000		0.3020		
	47.0000		0.3018		
	48.0000		0.3012		
	49.0000		0.3000		
	50.0000		0.2982		
	51.0000		0.2970		
	52.0000		0.2970		
	53.0000		0.2968		
	54.0000		0.2950		
	55.0000		0.2950		
	56.0000		0.2935		
	57.0000		0.2914		
	58.0000		0.2900		
	59.0000		0.2882		
	60.0000		0.2870		
	61.0000		0.2858		
	62.0000		0.2850		
	63.0000		0.2826		
	64.0000		0.2808		
	65.0000		0.2800		
	66.0000		0.2785		
	67.0000		0.2768		
	68.0000		0.2741		
	69.0000		0.2718		
	70.0000		0.2688		
	71.0000		0.2664		
	72.0000		0.2644		
	73.0000		0.2620		
	74.0000		0.2620		
	75.0000		0.2600		
	76.0000		0.2600		
	77.0000		0.2600		
	78.0000		0.2604		
	79.0000		0.2620		
	80.0000		0.2623		
	81.0000		0.2646		
	82.0000		0.2670		
	83.0000		0.2699		
	84.0000		0.2732		
	85.0000		0.2758		
	86.0000		0.2770		
	87.0000		0.2812		
	88.0000		0.2820		
	89.0000		0.2820		
	90.0000		0.2820		
	91.0000		0.2816		
	92.0000		0.2800		
	93.0000		0.2776		
	94.0000		0.2770		
	95.0000		0.2770		
	96.0000		0.2770		
	97.0000		0.2770		
	98.0000		0.2756		
	99.0000		0.2752		
	100.0000		0.2766		
	101.0000		0.2770		
	102.0000		0.2770		
	103.0000		0.2788		
	104.0000		0.2820		
	105.0000		0.2871		
	106.0000		0.2930		
	107.0000		0.3007		
	108.0000		0.3097		
	109.0000		0.3177		
	110.0000		0.3230		
	111.0000		0.3279		
	112.0000		0.3318		
	113.0000		0.3362		
	114.0000		0.3397		
	115.0000		0.3400		
	116.0000		0.3400		
	117.0000		0.3388		
	118.0000		0.3400		
	119.0000		0.3394		
	120.0000		0.3373		
	121.0000		0.3370		
	122.0000		0.3370		
	123.0000		0.3370		
	124.0000		0.3370		
	125.0000		0.3370		
	126.0000		0.3370		
	127.0000		0.3370		
	128.0000		0.3370		
	129.0000		0.3379		
	130.0000		0.3370		
	131.0000		0.3385		
	132.0000		0.3400		
	133.0000		0.3382		
	134.0000		0.3364		
	135.0000		0.3350		
	136.0000		0.3350		
	137.0000		0.3350		
	138.0000		0.3350		
	139.0000		0.3350		
	140.0000		0.3350		
	141.0000		0.3350		
	142.0000		0.3341		
	143.0000		0.3341		
	144.0000		0.3350		
	145.0000		0.3358		
	146.0000		0.3370		
	147.0000		0.3356		
	148.0000		0.3370		
	149.0000		0.3370		
	150.0000		0.3370		
	151.0000		0.3370		
	152.0000		0.3370		
	153.0000		0.3370		
	154.0000		0.3370		
	155.0000		0.3370		
	156.0000		0.3370		
	157.0000		0.3370		
	158.0000		0.3370		
	159.0000		0.3391		
	160.0000		0.3400		
	161.0000		0.3394		
	162.0000		0.3385		
	163.0000		0.3376		
	164.0000		0.3370		
	165.0000		0.3370		
	166.0000		0.3370		
	167.0000		0.3370		
	168.0000		0.3370		
	169.0000		0.3370		
	170.0000		0.3379		
	171.0000		0.3382		
	172.0000		0.3370		
	173.0000		0.3370		
	174.0000		0.3370		
	175.0000		0.3370		
	176.0000		0.3370		
	177.0000		0.3370		
	178.0000		0.3370		
	179.0000		0.3370		
	180.0000		0.3370		
	181.0000		0.3366		
	182.0000		0.3370		
	183.0000		0.3382		
	184.0000		0.3388		
	185.0000		0.3370		
	186.0000		0.3376		
	187.0000		0.3385		
	188.0000		0.3400		
	189.0000		0.3388		
	190.0000		0.3400		
	191.0000		0.3400		
	192.0000		0.3400		
	193.0000		0.3400		
	194.0000		0.3400		
	195.0000		0.3400		
	196.0000		0.3400		
	197.0000		0.3394		
	198.0000		0.3385		
	199.0000		0.3400		
	200.0000		0.3400		
	201.0000		0.3400		
	202.0000		0.3410		
	203.0000		0.3432		
	204.0000		0.3462		
	205.0000		0.3510		
	206.0000		0.3557		
	207.0000		0.3599		
	208.0000		0.3638		
	209.0000		0.3682		
	210.0000		0.3708		
	211.0000		0.3752		
	212.0000		0.3790		
	213.0000		0.3812		
	214.0000		0.3854		
	215.0000		0.3896		
	216.0000		0.3946		
	217.0000		0.3976		
	218.0000		0.4012		
	219.0000		0.4044		
	220.0000		0.4068		
	221.0000		0.4099		
	222.0000		0.4119		
	223.0000		0.4162		
	224.0000		0.4176		
	225.0000		0.4148		
	226.0000		0.4144		
	227.0000		0.4115		
	228.0000		0.4094		
	229.0000		0.4019		
	230.0000		0.3926		
	231.0000		0.3839		
